origin,destination,country,region,ai_current_rate_usd_feu,ai_forecast_rate_usd_feu_3mo,ai_pct_change,ai_note,ai_provider,ai_model,ai_confidence,fetched_at
Nhava Sheva (JNPT),Jebel Ali,UAE,Middle East,955.0,907.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Dammam,Saudi Arabia,Middle East,1041.0,989.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Bandar Abbas,Iran,Middle East,1063.0,1010.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Kuwait City,Kuwait,Middle East,948.0,901.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Hamad Port (Doha),Qatar,Middle East,926.0,880.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Sohar,Oman,Middle East,972.0,923.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Jeddah,Saudi Arabia,Red Sea / East Africa,1314.0,1235.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Port Sudan,Sudan,Red Sea / East Africa,1881.0,1768.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Djibouti,Djibouti,Red Sea / East Africa,1686.0,1585.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Aqaba,Jordan,Red Sea / East Africa,1646.0,1547.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Suez,Egypt,Red Sea / East Africa,1864.0,1752.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Piraeus,Greece,Europe (Mediterranean),3582.0,3295.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Genoa,Italy,Europe (Mediterranean),3801.0,3497.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Barcelona,Spain,Europe (Mediterranean),3841.0,3534.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Marseille,France,Europe (Mediterranean),4033.0,3710.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Valencia,Spain,Europe (Mediterranean),3877.0,3567.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Gioia Tauro,Italy,Europe (Mediterranean),4104.0,3776.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Ambarli (Istanbul),Turkey,Europe (Mediterranean),3824.0,3518.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Rotterdam,Netherlands,Europe (North),4836.0,4449.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Hamburg,Germany,Europe (North),5262.0,4841.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Antwerp,Belgium,Europe (North),4611.0,4242.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Felixstowe,United Kingdom,Europe (North),4762.0,4381.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Le Havre,France,Europe (North),4954.0,4558.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),New York/New Jersey,USA,US East Coast,7024.0,6322.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Savannah,USA,US East Coast,6903.0,6213.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Norfolk,USA,US East Coast,7351.0,6616.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Charleston,USA,US East Coast,7254.0,6529.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Baltimore,USA,US East Coast,7920.0,7128.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Houston,USA,US Gulf / Caribbean / Latin America,7909.0,7118.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),New Orleans,USA,US Gulf / Caribbean / Latin America,7666.0,6899.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Cartagena,Colombia,US Gulf / Caribbean / Latin America,3779.0,3552.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Balboa,Panama,US Gulf / Caribbean / Latin America,3509.0,3298.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Kingston,Jamaica,US Gulf / Caribbean / Latin America,3449.0,3242.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Lagos,Nigeria,Africa / South America (Cape),3751.0,3488.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Tema,Ghana,Africa / South America (Cape),4003.0,3723.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Durban,South Africa,Africa / South America (Cape),3161.0,2940.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Cape Town,South Africa,Africa / South America (Cape),3187.0,2964.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Santos,Brazil,Africa / South America (Cape),3918.0,3644.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Buenos Aires,Argentina,Africa / South America (Cape),4602.0,4280.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Mombasa,Kenya,Indian Ocean Rim,835.0,802.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Dar es Salaam,Tanzania,Indian Ocean Rim,886.0,851.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Colombo,Sri Lanka,Indian Ocean Rim,600.0,576.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Port Louis,Mauritius,Indian Ocean Rim,1071.0,1028.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Karachi,Pakistan,Indian Ocean Rim,659.0,633.0,-3.9,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Los Angeles/Long Beach,USA,Pacific (US West / Oceania),6160.0,5606.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Oakland,USA,Pacific (US West / Oceania),6409.0,5832.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Seattle/Tacoma,USA,Pacific (US West / Oceania),5893.0,5363.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Vancouver,Canada,Pacific (US West / Oceania),2687.0,2553.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Melbourne,Australia,Pacific (US West / Oceania),2314.0,2198.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Sydney,Australia,Pacific (US West / Oceania),2526.0,2400.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Auckland,New Zealand,Pacific (US West / Oceania),2431.0,2309.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Singapore,Singapore,Intra-Asia,528.0,507.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Port Klang,Malaysia,Intra-Asia,492.0,472.0,-4.1,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Laem Chabang,Thailand,Intra-Asia,627.0,602.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
